compound_name,plasma_qc_target,conc,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10
cholic acid,1.3,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
deoxycholic acid,1.1,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
lithocholic acid,2,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
glycocholic acid,1.3,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
taurocholic acid,1.4,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
isodeoxycholic acid,1.3,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
alloisolithocholic acid,0.5,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
3-oxolithocholic acid,4,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
glycochenodeoxycholic acid,2,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
beta-muricholic acid,1,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
alpha-muricholic acid,1.8,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
allocholic acid,1.5,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
chenodeoxycholic acid,1.4,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
taurochenodeoxycholic acid,1.6,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
ursodeoxycholic acid,1.5,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
3-oxocholic acid,2.2,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
7-oxodeoxycholic acid,1.8,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
12-oxochenodeoxycholic acid,1.7,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
isochenodeoxycholic acid,1.4,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
isolithocholic acid,2.6,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
glycodeoxycholic acid,3.7,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
glycolithocholic acid,1.4,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
glycoursocholic acid,1.6,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
taurodeoxycholic acid,1.7,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
taurolithocholic acid,1.5,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
tauroursocholic acid,1.6,diluted,0.036,0.109,0.326,0.651,1.302,2.604,5.208,10.417,20.833,62.5
