compound_name,plasma_qc_target,conc,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10
Acetate,5,diluted,0.195,0.391,0.781,1.563,3.125,6.25,12.5,25,50,100
Propionate,5,diluted,0.049,0.098,0.195,0.391,0.781,1.563,3.125,6.25,12.5,25
Butyrate,5,diluted,0.024,0.049,0.098,0.195,0.391,0.781,1.563,3.13,6.25,12.5
Succinate,5,concentrated,0.098,0.195,0.391,0.781,1.563,3.125,6.25,12.5,25,50
Proline,5,diluted,0.039,0.078,0.156,0.313,0.625,1.25,2.5,5,10,20
Glycine,5,diluted,0.039,0.078,0.156,0.313,0.625,1.25,2.5,5,10,20
5Aminovalerate,5,diluted,0.059,0.117,0.234,0.469,0.938,1.875,3.75,7.5,15,30
Cysteine,5,concentrated,0.039,0.078,0.156,0.313,0.625,1.25,2.5,5,10,20
Tyramine,5,concentrated,0.01,0.02,0.039,0.078,0.156,0.313,0.625,1.25,2.5,5
Tryptamine,5,concentrated,0.02,0.039,0.078,0.156,0.313,0.625,1.3,2.5,5,10
